"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
135;"D58";"LED-3MM";1;"S57";;;
136;"D59";"LED-3MM";1;"S58";;;
137;"D60";"LED-3MM";1;"S59";;;
138;"D117";"LED-3MM";1;"M56";;;
139;"D118";"LED-3MM";1;"M57";;;
140;"D119";"LED-3MM";1;"M58";;;
141;"D120";"LED-3MM";1;"M59";;;
142;"SW1";"SW-TACT-6mm-CORNER";1;"ALARM";;;
143;"SW2";"SW-TACT-6mm-CORNER";1;"SET";;;
144;"SW3";"SW-TACT-6mm-CORNER";1;"MODE";;;
145;"SW4";"SW-TACT-6mm-CORNER";1;"~RESET~";;;
146;"P1";"ROW_HOLES_3";1;"5V__3V3";;;
147;"MH1,MH2,MH3,MH4";"HOLE-MOUNT";4;"MOUNT_HOLE";;;
148;"X1";"CRYSTAL-CF-206";1;"32.768KHz";;;
149;"PZ1";"PIEZO-PS1240P02BT";1;"PIEZO";;;
150;"L1";"IND-WE-2.5mm";1;"10µH";;;
151;"C3,C4";"CP-2.0mm-PTH";2;"100µF";;;
152;"JP1";"ROW_HOLES_2";1;"SHUNT";;;
153;"BT1";"BATT-2xAA-BH2AA-PC";1;"BATTERY";;;
154;"CON1";"AVR-ISP-6";1;"AVR-ISP-6";;;
155;"IC1";"ATMEGA48-DIP28";1;"ATMEGA48";;;
156;"U1";"LT1300-DIP8";1;"LT1300";;;
